"Nom de la
variété",,Origine,,"Rendement
(T/Ha)","Tolérance
aux maladies","Durée du
cycle","Zone de
production"
,,semence,,,,,
,,de base,,,,,
CIPIRA,IRAD,,,20-35,"Tolérante au
mildiou","Moyenne
100 jrs",Partout
TUBIRA,IRAD,,,20-30,"Modérément
susceptible au
mildiou","Moyenne
100 jrs",Partout
CARDINAL,EUROPE,,,Bon,"Susceptible au
mildiou","Moyenne
100 jrs",Ouest/nord-ouest
DIAMANT,EUROPE,,,Bon,"Susceptible au
mildiou","Long (100-
130 jrs)
après
plantation",Ouest
IRAD 2005,IRAD,,,Nd,Nd,Nd,Nord-Ouest
SPUNTA,EUROPE,,,Nd,Nd,Nd,Ouest/nord-ouest
MONDIAL,EUROPE,,,Nd,Nd,Nd,Ouest
HERTA,"AFRIQUE
DU SUD",,,Nd,Nd,Nd,Ouest/nord-ouest
NICOLA,"AFRIQUE
DU SUD",,,Nd,Nd,Nd,Ouest
DESIREE,EUROPE,,,15-25,Tolérante,"Moyenne
100 jrs",Ouest/nord-ouest
PAMINA,EUROPE,,,25-30,Tolérante,"Moyenne
100 jrs",Ouest
