"et Sitophilus
zeamaïs)","adultes sur les enveloppes,
-les larves se nourrissent du
contenu des grains, ce qui
entraîne la diminution du poids
et de la qualité des denrées
stockées.","* bien sécher et nettoyer les grains
stockés, ainsi que le matériel ou
endroits destinés à la conservation ;
* éviter de mélanger les anciens et
nouveaux stocks ;
*stocker les grains loin de l’humidité
(éviter le contact direct des sacs avec
le sol).
-A titre curatif,
* enrober les grains d’un insecticide
approprié (Malagrain, Malathion,
Poudrox à raison de 100 grammes
pour 100 Kg de grain) ;"
II-Les Oiseaux,"Grâce à son bec l’oiseau
déchire les spathes protectrices
des épis et les grains sont
avalés en entier.","Garder le champ toujours propre
(désherber, détruire les perchoirs à
proximité et à l’intérieur du champ)"
"III-Les Rongeurs
(rat, hérissons,
etc.)","Au moment de l’épiaison, les
animaux coupent les tiges à
quelques centimètres du sol et
consomment les épis sur place
ou les transportent dans leurs
terriers).","*Détruire toute formation végétale
adventice à l’intérieur et à la
périphérie
*construire si possible les barrières
anti-rats."
