Ravageurs,Dégâts,Techniques de lutte
I-les insectes,,
"1-les lépidoptères
foreurs de tiges","Les jeunes larves percent des
trous sur les feuilles des
pousses. Les larves âgées
creusent des galeries à
l’intérieur des tiges et
s’attaquent également aux épis","-lutte culturale :
* Détruire les chaumes après récolte
par enfouissement ou par incinération
* semer au moment approprié (autour
du 25-30 mars et du 1ier septembre)
-lutte chimique :
*A titre préventif, incorporer les
granulés de nématicide (carbofuran,
furadan,…) à raison de 1 à 1,5 Kg de
matière active par hectare dans les
sillons de semis
* A titre curatif, épandre des granulés
de nématicide (carbofuran, furadan)
dans les cornets foliaires six semaines
après les semis."
"2-Les charançons
(Sitophilus oryzae","-Creusent des trous de ponte
ou des orifices de sorties des","-A titre préventif,"
