"Zones
agroécologiques",composites,,,Hybrides,,
,variété,couleur,"Cycle
(jour)",variété,couleur,cycle
"Zone forestière à
deux saisons des
pluies (centre,
Sud, Est)","-CMS
8704
-CMS
8501
-CMS
9015
-CMS
8806","Jaune
Blanche
blanche
jaune","110-120
110-120
100-105
90-95","-CHH 105
-CHH 101
-CLM103
-CLM107
CLM 105","Blanche
J/B
Blanche
Blanche
blanche","110-120
-//-
-//-
-//-
-//-"
"Zone forestière à
une saison des
pluies (littoral,
partie du Sud-
Ouest","-CMS
8704
-CMS
8501
-CMS
9015
-CMS
8806","Jaune
Blanche
blanche
jaune","110-120
110-120
100-105
90-95","-CHH 105
-CHH 101
-CLM103
-CLM107
CLM 105","Blanche
J/B
Blanche
Blanche
blanche","110-120
-//-
-//-
-//-
-//-"
"Zone des hauts
plateaux de
l’Ouest (Ouest,
Nord-ouest,","-CHC 201
-CHC 202
-CHC 205","Blanche
Jaune
blanche","130-130
110-120
105-110","-CHH 105
-CHH 101
-CHH 108","Blanche
J/B
J/B","110-120
110-120
110-120"
