Désignation,,,,"Q
té","Coût
unitaire","Coût
Total",,"Durée
de vie",An,,1,,"2Camp/
An"
,,,,,,,Coût,,,,Camp/,,
,,,,,,,Total,,An,,An,,
Pulvérisateur,,U,,1,40000,40000,,3,"13333,3
3333","3333,33
3333",,,"6666,66
6667"
Machette,,U,,4,4500,18000,,2,9000,2250,,,4500
Houe,,U,,4,3500,14000,,2,7000,1750,,,3500
Porte tout,,U,,1,85000,85000,,5,17000,4250,,,8500
Triple décamètre,,U,,1,10000,10000,,2,5000,1250,,,2500
Lime,,U,,4,1000,4000,,1,4000,1000,,,2000
Ficelle,,"Roul
eau",,1,3000,3000,,1,3000,750,,,1500
Gants,,U,,0,2500,0,,1,0,0,,,0
"TOTAL
AMORTISSEMEN
TS",,,,,,,,,"58333,3
3333","14583,3
3333",,,"29166,6
6667"
,,,,,,,,,"58333,3",,,,
,,,,,,,,,3333,,,,
