nom,temperature_min,temperature_max,pluviometrie_min,pluviometrie_max,cycle_jours,rendement_moyen,sols_recommandes
Arachide,20.0,30.0,500.0,1000.0,120.0,3.0,"sols sableux ou sablo-limoneux, légers et bien drainés"
Café Arabica,18.0,24.0,1200.0,2000.0,1095.0,1.5,"sols volcaniques profonds, riches en matière organique, légèrement"
Haricot,15.0,25.0,600.0,1000.0,90.0,2.5,"sols limoneux ou limono-sableux, fertiles"
Maïs,18.0,30.0,800.0,1200.0,120.0,5.0,"sols volcaniques, ferrallitiques profonds"
Pomme de terre,15.0,22.0,700.0,1200.0,120.0,25.0,"sols volcaniques, profonds, riches en matière organique et bien drainés"
